alloy,curve,lmp,stress_mpa,source_file,page,method,extracted_on
Centralloy G 4852,average,25.323992026046692,47.5483070510819,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.32408608299976,47.54739305827783,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.32436789226597,47.544649659619644,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.32483691145581,47.540074883498455,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.325492598179792,47.533666970636375,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.326334410048407,47.525424374866255,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.327361804672154,47.51534576387143,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.328574239661535,47.50343001988441,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.329971172627047,47.48967624034463,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.331552061179195,47.47408373851505,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.333316362928468,47.45665204405692,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.335263535485367,47.437380903562776,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.337393036460398,47.416270281047375,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.339704323464055,47.393320358395876,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.34219685410684,47.36853153576978,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.344870085999244,47.3419044319697,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.34772347675177,47.31343988475526,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.35075648397493,47.283138951121366,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.353968565279203,47.2510029075311,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.3573591782751,47.21703325010514,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.360927780573114,47.181231694766865,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.36467382978375,47.1436001773438,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.368596783517503,47.10414085362467,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.37269609938487,47.06285609937201,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.376971234996358,47.01974851029077,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.381421647962455,46.97482090195153,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.386046795893666,46.92807630967022,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.390846136400494,46.87951798834194,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.39581912709343,46.82914941223028,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.40096522558298,46.77697427471246,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.406283889479635,46.7229964879782,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.4117745763939,46.66722018268485,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.417436743936275,46.60964970756669,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.42326984971725,46.55028962899942,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.429273351347337,46.48914473052008,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.435446706437027,46.42622001230084,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.44178937259682,46.36152069057917,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.448300807437214,46.295052197042104,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.45498046856871,46.22682017816574,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.46182781360181,46.156830494510444,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.468842300147006,46.08508921997048,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.4760233858148,46.01160264097987,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.483370528215694,45.936377255673,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.49088318496018,45.85941977300097,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.498560813658766,45.78073711180402,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.506402871921946,45.70033639983914,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.514408817360216,45.61822497276439,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.522578107584085,45.534410373079,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.530910200204037,45.44890034901941,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.539404552830586,45.36170285341315,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.54806062307422,45.27282604248793,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.556877868545445,45.18227827463895,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.565855746854755,45.090068109152845,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.574993715612653,44.99620430488914,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.58429123242964,44.900695818919644,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.593747754916205,44.803551805125736,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.603362740682854,44.70478161275405,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.613135647340087,44.60439478493065,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.623065932498402,44.50240105713432,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.6331530537683,44.398810355628854,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.64339646876027,44.293632795855096,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.653795635084823,44.18687868078313,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.66435001035245,44.07855849922441,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.67505905217366,43.96868292410465,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.68592221815894,43.85726281069804,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.696938965918793,43.7443091948227,WST_G_4852_161109.pdf,6,vector,2026-09-07
