,0-1,1-2,2-5,5-10,10-20,20-50,50-100,>100
S1_steady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_daily,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0
S3_renewable,421.0,354.0,678.0,410.0,234.5,140.5,0.0,0.0
S4a_mild_overfire,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
S4b_severe_overfire,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
S4c_hot_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6_SC2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6_SC3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_CH4_slip_ageing_y1,350.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_CH4_slip_ageing_y2,1047.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_CH4_slip_ageing_y3,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_CH4_slip_ageing_y4,865.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_ageing_y1,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_ageing_y2,9.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_ageing_y3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_ageing_y4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_const_y1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_const_y2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_const_y3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_const_y4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
