scenario,evaluated_by,max_dT_wo_vs_stored_K,sigma_th_mean_MPa,sigma_th_min_MPa,sigma_th_max_MPa,largest_range_MPa,cycles_per_year,cycles_ge_1MPa,z_frac_hot_min,z_frac_hot_max,sigma_thmax_min_MPa,sigma_thmax_max_MPa,largest_range_thmax_MPa,cycles_thmax_ge_1MPa,n_reversals,measure_m3,ratio_to_startup_m3,ratio_thmax_m3,measure_m5,ratio_to_startup_m5,ratio_thmax_m5,measure_m8,ratio_to_startup_m8,ratio_thmax_m8
S1_steady,"physics, 1 distinct points",0.012439232628594254,109.72843790513527,109.72843790513528,109.72843790513528,0.0,0.0,0.0,0.425,0.425,121.06573486242638,121.06573486242638,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_daily,"physics, 4 distinct points",0.013975505318057913,99.52605757719404,79.29366773418167,109.72843790513528,30.434770170953612,365.0,365.0,0.415,0.425,91.8260595183353,121.06573486242638,29.239675344091083,365.0,731,10279848.412423031,7.768107996004433,4.975141102282027,9519805147.248907,0.5968185312314607,0.2840123224917366,268337840458695.66,0.01271231672583522,0.0038745970922332675
S3_renewable,"physics, 8522 distinct points",0.030551511092653527,94.54576220601612,68.83590443502047,118.73685163748914,49.90094720246867,2238.0,1817.0,0.41,0.43,81.30058528140651,130.20186613326732,48.901280851860804,1828.0,4477,7545138.078556085,5.701586744037788,3.8621167071456326,12217852850.712164,0.765965361725013,0.40177226595502374,1162279152685043.5,0.05506215853683138,0.019657862750255946
S4a_mild_overfire,"physics, 2 distinct points",0.06152139828077452,109.75613366661918,109.72843790513528,114.78291437595166,5.0544764708163825,24.0,24.0,0.425,0.43,121.06573486242638,126.62287545333655,5.557140590910166,24.0,49,3099.1298944408954,0.002341899875154696,0.0022479601688983287,79175.74119753437,4.963709744030879e-06,4.636321299714817e-06,10223996.102491431,4.843546345770859e-10,4.342610671655766e-10
S4b_severe_overfire,"physics, 2 distinct points",0.012439232628594254,109.672896522578,28.638019371510644,109.72843790513528,81.09041853362464,6.0,6.0,0.425,1.0,121.06573486242638,134.10130581003983,13.03557094761345,6.0,13,3199336.172314672,2.41762211902168,0.007253784361975359,21037734026.97957,1.3189040456409442,8.232029180210862e-05,1.121779724267516e+16,0.5314352656014545,9.952227422456398e-08
S4c_hot_band,"physics, 1 distinct points",40.012439221190334,109.72843790513527,109.72843790513528,109.72843790513528,0.0,0.0,0.0,0.425,0.425,121.06573486242638,121.06573486242638,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6_SC2.5,"physics, 1 distinct points",0.00917105209850888,103.18382269616141,103.18382269616141,103.18382269616141,0.0,0.0,0.0,0.425,0.425,115.27798160471973,115.27798160471973,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6_SC3.5,"physics, 1 distinct points",0.029771086169603223,116.80556695237917,116.80556695237917,116.80556695237917,0.0,0.0,0.0,0.43,0.43,128.61732860568998,128.61732860568998,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_CH4_slip_ageing_y1,"physics, 8760 distinct points",0.07712401308845074,108.12880389639423,108.0899012651185,108.17099740553734,0.08109614041883617,350.5,0.0,0.43,0.43,121.09701915781257,121.11218029446997,0.015161136657397378,0.0,702,0.0002666678026539832,2.0151117088166005e-10,9.510528965540402e-13,1.7537631146278573e-06,1.0994745270627574e-16,1.45993721513073e-20,9.35344265812407e-10,4.4311277657954375e-26,2.7768516777679994e-32
S5_hold_CH4_slip_ageing_y2,"physics, 8760 distinct points",0.04183425082305803,108.36134536692857,108.17100192923749,109.7284196768809,1.557417747643413,1047.5,0.5,0.425,0.43,121.0657320612516,121.0970177832183,0.03128572196671087,0.0,2096,1.8887973405741247,1.4272955335036294e-06,8.356653281778589e-12,4.581372466250587,2.8721680160881126e-10,5.462686458417503e-19,17.306568260847563,8.198865161659759e-16,9.129942363303146e-30
S5_hold_CH4_slip_ageing_y3,"physics, 8760 distinct points",0.012439198671700069,109.79023762659261,109.72843790513528,109.8573765009481,0.1289385958128264,272.0,0.0,0.425,0.425,121.01380056446624,121.06573486242638,0.051934297960144704,0.0,545,0.0010718124890822592,8.099297608898133e-10,3.8225756518443985e-11,1.781905571437426e-05,1.1171176820208034e-15,6.885677738954677e-18,3.8197372908462616e-08,1.809573713782487e-24,5.264203946597245e-28
S5_hold_CH4_slip_ageing_y4,"physics, 8760 distinct points",0.09103204201255721,109.94238958843567,109.85739968292125,110.0388660989431,0.18146641602184843,865.5,0.0,0.425,0.425,120.94068476958942,121.0138277743318,0.07314300474237712,0.0,1732,0.0029878500003675387,2.2578097018111752e-09,1.0678535160749429e-10,9.83900800966694e-05,6.168300945530337e-15,3.815393658621371e-17,5.879496010120333e-07,2.785369940414309e-23,8.148561789126124e-27
S5_hold_T_out_ageing_y1,"physics, 8760 distinct points",0.11130752008898526,108.68093253842943,108.57973165158205,108.7686819438307,0.18895029224864857,81.5,0.0,0.43,0.43,121.44396163631068,121.68887475931349,0.2449131230028172,0.0,164,0.0033729717918128724,2.5488322487921857e-09,4.008938484633595e-09,0.00012042255689542899,7.549567708771487e-15,1.6059634166925062e-14,8.123637732629408e-07,3.848516319822845e-23,1.287641704091745e-22
S5_hold_T_out_ageing_y2,"physics, 8760 distinct points",0.05739861347228725,108.56373179248776,108.30907167852345,109.76160262377165,1.4525309452481991,9.5,0.5,0.425,0.43,121.06578160199422,121.44393405715648,0.37815245516226526,0.0,20,1.5422379961530468,1.1654132268312803e-06,1.4756861290119761e-08,3.2336609726714673,2.0272566112007018e-10,1.4093212126198427e-13,9.907721340977876,4.693713398845612e-16,4.159431529246872e-21
S5_hold_T_out_ageing_y3,"physics, 8760 distinct points",0.012439232628594254,109.47587434024007,109.15998590812352,109.72843790513528,0.5684519970117634,0.5,0.0,0.425,0.425,120.41559465405874,121.06573486242638,0.6501402083676453,0.0,2,0.09184412773676297,6.940327079101691e-08,7.499189017283877e-08,0.029678297706999784,1.8606009023262755e-12,2.1169494967587605e-12,0.005451554731222735,2.582635765163218e-19,3.175080883247585e-19
S5_hold_T_out_ageing_y4,"physics, 8760 distinct points",0.10548637176998454,109.14935794032758,108.5288505475592,109.88164343614064,1.3527928885814333,1.5,0.5,0.42,0.425,119.10865259671648,120.41550863755612,1.3068560408396337,0.5,4,1.492615660222331,1.1279154302628041e-06,6.090829898269287e-07,2.367707370790039,1.4843703348583543e-10,6.947269001515246e-11,5.634259348655038,2.669190794453972e-16,8.462926749149697e-17
S5_hold_T_out_const_y1,"physics, 1 distinct points",0.012439232628594254,109.72843790513527,109.72843790513528,109.72843790513528,0.0,0.0,0.0,0.425,0.425,121.06573486242638,121.06573486242638,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_const_y2,"physics, 1 distinct points",0.012439232628594254,109.72843790513527,109.72843790513528,109.72843790513528,0.0,0.0,0.0,0.425,0.425,121.06573486242638,121.06573486242638,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_const_y3,"physics, 1 distinct points",0.012439232628594254,109.72843790513527,109.72843790513528,109.72843790513528,0.0,0.0,0.0,0.425,0.425,121.06573486242638,121.06573486242638,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_hold_T_out_const_y4,"physics, 1 distinct points",0.012439232628594254,109.72843790513527,109.72843790513528,109.72843790513528,0.0,0.0,0.0,0.425,0.425,121.06573486242638,121.06573486242638,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
