scenario,control,annual_H2_kmol_per_tube,annual_damage_D,years_to_D1_active_curve,life_consumption_per_kmol_H2_rel_S1,D_avg_condition,avg_condition_error,T_wo_max_mean_K,T_wo_max_max_K,firing_mean,T_out_mean_K,CH4_slip_mean_pct,n_physics_hours,verify_max_abs_dT_wo_K,verify_max_abs_dT_out_K,notes,event_hours,dD_event_to_base_ratio
S1_steady,hold_T_out,128523.36223173072,0.000630040861803975,1587.1986415876795,1.0,0.0006300408618303921,1.0000000000419291,1143.4322969813716,1143.4322969953778,0.9780424587994437,1105.5500000145835,8.106701065048291,0,0.012439232628594254,0.004524081897443466,"load 1.0, S/C 2.89, hold_T_out",,
S2_daily,hold_T_out,115653.25446981628,0.0005724494230402728,1746.8792171874516,1.0097006252799539,0.0005652488616113002,0.9874214888876461,1141.0698162495792,1143.4322969953778,0.9439080746919808,1105.550000012408,8.111198857415822,0,0.01397550317369678,0.002177369124638062,"1.0 06-22 h, 0.70 at night, ramp 0.10/h",,
S3_renewable,hold_T_out,109656.08608002217,0.0005444262426766829,1836.7961013111333,1.0127906233594963,0.0005374682859091294,0.9872196521362664,1139.9314855734117,1146.1453961502527,0.9274210290698456,1105.550000000754,8.113294376526815,0,0.030551508590633603,0.029214829649617968,"bounded OU load [0.60, 1.10], mean 0.85, ramp 0.10/h",,
S4a_mild_overfire,hold_T_out,128552.76219094802,0.0006336865708345981,1578.067211812534,1.0055564415064582,0.0006300408618303921,0.9942468261566528,1143.5091029230098,1157.4493813372956,0.9785783724754983,1105.637693697172,8.099958825859085,0,0.06152139828077452,0.012028134141473856,S1 + 24 events/yr of firing +10 % for 2 h,48.0,2.0560297553456284
S4b_severe_overfire,hold_T_out,128531.87201053204,0.0006317374703782681,1582.9360246768738,1.0026264689991282,0.0006300408618303921,0.9973143772097924,1143.4568345720536,1179.2571793782292,0.9782099318232105,1105.5767129648796,8.104808446520048,6,0.012439232628594254,0.004524081897443466,S1 + 6 events/yr of firing +25 % for 1 h (physics model),6.0,4.931568040161491
S4c_hot_band,hold_T_out,128523.36223173072,0.0006411142392767524,1559.7844170925143,1.0175756496825799,0.0006336300398653306,0.9883262623836513,1143.5418860224675,1183.4322969839395,0.9780424587994437,1105.5500000145835,8.106701065048291,0,0.012439232628594254,0.004524081897443466,"S1 + 40 K added to T_wo,max for 24 h/yr (flame-impingement proxy)",24.0,7.4151121287097
S6_SC2.5,hold_T_out,119860.8936040535,0.0006741833610338832,1483.2760014522842,1.1473974494607786,0.0006741833606316891,0.9999999994034351,1144.3005888436614,1144.3005888450475,0.8973752289333217,1105.5500000071295,9.79013232254002,0,0.009171044592221733,0.0016833824940931663,S1 at S/C 2.5,,
S6_SC3.5,hold_T_out,139775.98646637384,0.0005804009387563483,1722.9469031231167,0.847049717075021,0.0005804009389217219,1.0000000002849299,1142.087575492908,1142.0875755041886,1.09151247292956,1105.5499999894296,6.187160557845252,0,0.029771086169603223,0.014449957134502256,S1 at S/C 3.5,,
S5_hold_CH4_slip_ageing_y1,hold_CH4_slip,128546.06689662414,0.0004765974416743875,2098.206814721432,0.7563212019084984,0.00047557300206739836,0.9978505138353448,1137.9806829606234,1139.3880465555067,0.9737645618373657,1104.2354069338394,8.10670106658195,0,0.07712228724108172,0.005895042402244144,year 1 of 4; activity 0.300 -> 0.250; hold_CH4_slip,,
S5_hold_CH4_slip_ageing_y2,hold_CH4_slip,128531.87236624415,0.0005645339145776634,1771.3727628713248,0.8959681360959802,0.0005612839527339991,0.9942431061097621,1141.2664233469222,1143.431721397638,0.9763232465330558,1105.0231590604815,8.106701066611329,0,0.04183425082305803,0.005721903473840939,year 2 of 4; activity 0.250 -> 0.200; hold_CH4_slip,,
