p,S5y4_life_gt_2x_S1,knee_life_lt_0.5_base,SC3.5_less_life_per_kmol_than_SC2.5,S2_life_per_kmol_le_S1,S3_life_per_kmol_le_S1,min_convergence
0.0,0.81884765625,0.884765625,0.8564453125,0.42529296875,0.48388671875,1.0
0.1,0.81884765625,0.91064453125,0.8564453125,0.2646484375,0.31982421875,1.0
0.15,0.81884765625,0.9189453125,0.8564453125,0.1904296875,0.24462890625,1.0
0.2,0.81884765625,0.927734375,0.8564453125,0.1162109375,0.16796875,1.0
0.25,0.81884765625,0.93603515625,0.8564453125,0.0673828125,0.10498046875,1.0
0.3,0.81884765625,0.9482421875,0.8564453125,0.0283203125,0.05859375,1.0
0.35,0.81884765625,0.955078125,0.8564453125,0.0078125,0.01953125,1.0
0.4,0.81884765625,0.96337890625,0.8564453125,0.00146484375,0.00634765625,1.0
0.5,0.81884765625,0.97412109375,0.8564453125,0.0,0.0,1.0
0.75,0.81884765625,0.9921875,0.8564453125,0.0,0.0,1.0
1.0,0.81884765625,0.99658203125,0.8564453125,0.0,0.0,1.0
